"baitName","oeName"
"RP11-54O7.16;RP11-54O7.1","AL645608.1;RP11-54O7.3;SAMD11"
"RP11-54O7.16;RP11-54O7.1","KLHL17;NOC2L;PLEKHN1"
"RP11-54O7.16;RP11-54O7.1","C1orf170;PLEKHN1"
"RP11-54O7.16;RP11-54O7.1","RP5-902P8.10;UBE2J2"
"RP11-54O7.16;RP11-54O7.1","ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3"
"C1orf159","RP11-54O7.2"
"C1orf159","AL645608.1;RP11-54O7.3;SAMD11"
"C1orf159","KLHL17;NOC2L;PLEKHN1"
"C1orf159","C1orf170;PLEKHN1"
"C1orf159","MIR200A;MIR200B;MIR429;RP11-465B22.8"
"C1orf159","TTLL10"
"C1orf159","TTLL10-AS1;TTLL10"
"C1orf159","RP5-902P8.10;UBE2J2"
"C1orf159","ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3"
"C1orf159","DVL1;MXRA8"
"C1orf159","AURKAIP1"
"C1orf159","RP4-758J18.10;VWA1"
"C1orf159","MIB2;RP11-345P4.9"
"C1orf159","CDK11A;RP1-283E3.4;RP1-283E3.8;SLC35E2"
"RP5-1092A11.2;TP73","MEGF6"
"PER3","RP5-892F13.2;TNFRSF9"
"PER3","C1orf109;CDCA8"
"AGTRAP","TARDBP"
"AGTRAP","SRM"
"AGTRAP","EXOSC10;RP4-635E18.6"
"AGTRAP","MTOR-AS1;MTOR"
"AGTRAP","RNU6-537P"
"AGTRAP","RNU6-291P"
"AGTRAP","MTOR"
"AGTRAP","FBXO2;FBXO44"
"AGTRAP","FBXO6"
"RP11-84D1.1;RUNX3","RP4-706G24.1"
"PTP4A2","BAI2"
"PTP4A2","RP11-84A19.3"
NA,"CCDC28B"
NA,"IQCC;RP4-622L5.7"
NA,"DCDC2B;EIF3I;RP4-622L5.7;TMEM234"
NA,"FAM167B"
NA,"LCK"
NA,"HDAC1;MARCKSL1"
"MUTYH;TOE1","C1orf228;TMEM53"
"MUTYH;TOE1","RNU5F-1"
"MUTYH;TOE1","RNU5D-1"
"MUTYH;TOE1","KIF2C"
"MUTYH;TOE1","RP11-269F19.2;RPS8;SNORD55"
"MUTYH;TOE1","RPS8;SNORD38A;SNORD46"
"MUTYH;TOE1","RPS15AP11;SNORD38B"
"MUTYH;TOE1","BEST4"
"MUTYH;TOE1","BTBD19;PLK3;TCTEX1D4"
"MUTYH;TOE1","BTBD19;PTCH2;RNU5E-6P"
"MUTYH;TOE1","PTCH2;RP5-882O7.1"
"MUTYH;TOE1","EIF2B3;RP5-882O7.4"
"MUTYH;TOE1","HECTD3;UROD"
"MUTYH;TOE1","TESK2"
"MUTYH;TOE1","CCDC163P;MMACHC"
"MUTYH;TOE1","AKR1A1"
"GFI1","CDC7"
"GFI1","EPHX4"
"GFI1","BTBD8"
"GFI1","GLMN;RPAP2"
"GFI1","RPL5;SNORA66;SNORD21"
"HENMT1","C1orf194;KIAA1324"
"CHI3L2;DENND2D","KCNA2"
"CHI3L2;DENND2D","KCNA3"
"CHI3L2;DENND2D","CD53"
"CHI3L2;DENND2D","RP5-1125M8.2;RP5-1125M8.3"
"CHI3L2;DENND2D","PIFO"
"CHI3L2;DENND2D","OVGP1"
"CHI3L2;DENND2D","ATP5F1;WDR77"
"CHI3L2;DENND2D","C1orf162"
"CHI3L2;DENND2D","DDX20;FAM212B"
"CD58","SLC22A15"
"CD58","ATP1A1"
"CD58","MIR320B1"
"CD58","AL157904.1"
"CD58","PTGFRN;RP4-753F5.1"
"CD58","CD101"
"CD58","RP11-27K13.3"
"CD58","TTF2"
"CD58","MIR942;TTF2"
"CD58","TRIM45"
"CD101","CD58"
"CD101","CD2"
"PGLYRP4","S100A2"
"PGLYRP4","S100A14;S100A16"
"PGLYRP4","snoU13"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","PGLYRP4"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","S100A9"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","S100A2"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","INTS3;RP11-216N14.8;RP11-216N14.9"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","snoU13"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","CREB3L4;RP11-422P24.10;SLC39A1"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","RAB13;RP11-422P24.9;RPS27;U3"
"SLC27A3","RNU6-160P"
"SLC27A3","PGLYRP4"
"SLC27A3","S100A9"
"SLC27A3","S100A12"
"SLC27A3","S100A14;S100A16"
"SLC27A3","CHTOP;RP1-178F15.4;RP1-178F15.5;S100A13;S100A1"
"SLC27A3","SNAPIN"
"SLC27A3","ILF2"
"SLC27A3","NPR1"
"SLC27A3","INTS3;RP11-216N14.8;RP11-216N14.9"
"SLC27A3","snoU13"
"SLC27A3","GATAD2B"
"SLC27A3","DENND4B"
"SLC27A3","CRTC2"
"SLC27A3","CREB3L4;RP11-422P24.10;SLC39A1"
"SLC27A3","CREB3L4;JTB;RP11-422P24.11"
"SLC27A3","RAB13;RP11-422P24.9;RPS27;U3"
"SLC27A3","MIR190B;TPM3"
"SLC27A3","C1orf189"
"SLC27A3","AL590431.1;UBAP2L"
"SLC27A3","SNORA58;UBAP2L"
"BGLAP","SEMA4A"
"SLAMF6","COPA;NCSTN"
"SLAMF6","VANGL2"
"SLAMF6","RP11-404F10.2"
"SLAMF6","CD48"
"AKR1D1P1;CD247","TADA1"
"AKR1D1P1;CD247","ILDR2"
"AKR1D1P1;CD247","snoU13"
"AKR1D1P1;CD247","RP11-102C16.3"
"AKR1D1P1;CD247","GPA33"
"AKR1D1P1;CD247","DUSP27"
"AKR1D1P1;CD247","POU2F1;RP11-277B15.3"
"AKR1D1P1;CD247","MPZL1"
"IER5","ACBD6"
"IER5","KIAA1614;RP11-46A10.2"
"IER5","CACNA1E"
"NCF2","DHX9"
"NCF2","LAMC1"
"NCF2","SMG7-AS1;SMG7"
"FMOD;RP11-435P24.2","PRELP"
