"","ID","Genes","Promoter","CpGs","DE"
"1","""1_831895""","RP11-54O7.16;RP11-54O7.1",TRUE,TRUE,FALSE
"2","""1_3590780""","RP5-1092A11.2;TP73",TRUE,TRUE,FALSE
"3","""1_9294268""","H6PD",TRUE,TRUE,FALSE
"4","""1_26554159""","CEP85",TRUE,TRUE,FALSE
"5","""1_28968733""","RNU11;RP11-442N24__B.1;TAF12",TRUE,TRUE,FALSE
"6","""1_110444689""","CSF1",TRUE,TRUE,FALSE
"7","""1_151583021""","RP11-404E16.1;SNX27",TRUE,TRUE,TRUE
"8","""1_154290327""","AQP10;ATP8B2",TRUE,TRUE,FALSE
"9","""10_134245271""","RP11-432J24.3",TRUE,TRUE,FALSE
"10","""11_312307""","IFITM1;IFITM3;RP11-326C3.10;RP11-326C3.11;RP11-326C3.13;RP11-326C3.14",TRUE,TRUE,FALSE
"11","""11_388132""","ANO9;PKP3;SIGIRR",TRUE,TRUE,FALSE
"12","""11_1841987""","SYT8;TNNI2",TRUE,TRUE,FALSE
"13","""11_2914488""","SLC22A18AS;SLC22A18",TRUE,TRUE,FALSE
"14","""11_66200147""","SNORA43",TRUE,TRUE,FALSE
"15","""11_66232322""","CTD-3074O7.5;DPP3;MRPL11;PELI3",TRUE,TRUE,FALSE
"16","""11_66959174""","AP001885.1",TRUE,TRUE,FALSE
"17","""12_6609864""","NCAPD2;SCARNA10",TRUE,TRUE,FALSE
"18","""12_49998691""","FAM186B",TRUE,TRUE,FALSE
"19","""14_23585914""","CEBPE",TRUE,TRUE,TRUE
"20","""14_103051914""","RCOR1",TRUE,TRUE,TRUE
"21","""16_307214""","ARHGDIG;ITFG3",TRUE,TRUE,FALSE
"22","""16_413009""","MRPL28",TRUE,TRUE,FALSE
"23","""16_840378""","CHTF18;GNG13;PRR25",TRUE,TRUE,FALSE
"24","""16_1522211""","CLCN7;LA16c-390E6.3;RPS3AP2",TRUE,TRUE,FALSE
"25","""16_2017192""","RNF151;TBL3",TRUE,TRUE,FALSE
"26","""16_4586434""","CDIP1",TRUE,TRUE,FALSE
"27","""16_4663479""","MGRN1;UBALD1",TRUE,TRUE,FALSE
"28","""16_30662395""","FBRS;PRR14",TRUE,TRUE,FALSE
"29","""16_31016166""","STX1B",TRUE,TRUE,FALSE
"30","""16_84203578""","DNAAF1;TAF1C",TRUE,TRUE,FALSE
"31","""16_84536967""","TLDC1",TRUE,TRUE,FALSE
"32","""17_294770""","FAM101B;RP5-1029F21.3",TRUE,TRUE,FALSE
"33","""17_3741192""","C17orf85",TRUE,TRUE,FALSE
"34","""17_6943311""","SLC16A11",TRUE,TRUE,FALSE
"35","""17_73620723""","MYO15B;RECQL5;SMIM5",TRUE,TRUE,FALSE
"36","""17_73861050""","RP11-552F3.9;TRIM47",TRUE,TRUE,FALSE
"37","""18_2647332""","RNU6-340P",TRUE,TRUE,FALSE
"38","""19_2249764""","JSRP1;MIR4321",TRUE,TRUE,FALSE
"39","""19_10360796""","CTD-2369P2.4;ICAM1;MRPL4",TRUE,TRUE,FALSE
"40","""19_10516027""","CDC37;PDE4A",TRUE,TRUE,FALSE
"41","""19_12744852""","CTD-2192J16.15;MAN2B1;ZNF490",TRUE,TRUE,FALSE
"42","""19_17292509""","CTD-3032J10.3;MYO9B;OCEL1;USE1",TRUE,TRUE,FALSE
"43","""19_18041577""","CCDC124;KCNN1",TRUE,TRUE,FALSE
"44","""19_40766703""","AKT2;CTC-425O23.2;MIR641",TRUE,TRUE,FALSE
"45","""19_41085219""","LTBP4;SHKBP1",TRUE,TRUE,FALSE
"46","""19_52526161""","ZNF614",TRUE,TRUE,FALSE
"47","""2_23600229""","AC012506.4;KLHL29",TRUE,TRUE,FALSE
"48","""2_30360487""","AC016907.3;YPEL5",TRUE,TRUE,FALSE
"49","""2_105717464""","AC104655.2",TRUE,TRUE,FALSE
"50","""20_30637304""","HCK;RNA5SP482",TRUE,TRUE,FALSE
"51","""20_32874333""","AHCY",TRUE,TRUE,FALSE
"52","""20_34706369""","EPB41L1;snoU13",TRUE,TRUE,FALSE
"53","""20_60939241""","LAMA5",TRUE,TRUE,FALSE
