from	to	Organism Name Interactor A	Organism Name Interactor B
RNF11	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
RBBP8	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
RBBP8	ZNF350	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
ZNF350	NEK1	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
EP300	ZNF350	Homo sapiens	Homo sapiens
ZNF350	USP21	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
CSK	CLECL1	Homo sapiens	Homo sapiens
