"ID","Genes","Promoter","CpGs","Cytoscape_feature","final_feature"
"""1_943677""","AGRN;ISG15;RP11-54O7.11",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_1049052""","C1orf159",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_25273787""","RP11-84D1.1;RUNX3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_32410371""","PTP4A2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_117542531""","CD101",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_153743839""","SLC27A3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_160492674""","SLAMF6",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_167485364""","AKR1D1P1;CD247",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_207095325""","FAIM3;PIGR",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_228326248""","GJC2;GUK1;IBA57-AS1;IBA57",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""10_99180364""","AL355490.1;PGAM1;Y_RNA",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""10_116577878""","FAM160B1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""10_126837057""","CTBP2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""11_3237645""","MRGPRG-AS1;MRGPRG",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""11_94275770""","FUT4;PIWIL4",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""11_124613597""","ESAM;RP11-677M14.2;RP11-677M14.3;VSIG2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""12_27171342""","MED21",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""12_56725086""","IL23A;PAN2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""14_24769128""","CIDEB;LTB4R2;LTB4R;NOP9",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""14_50358189""","ARF6",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""14_101904053""","RP11-1029J19.2;RP11-168L7.3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""16_1810189""","EME2;MAPK8IP3;MRPS34;NME3;NUBP2;SPSB3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""16_67515357""","AGRP",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""16_88854751""","AC092384.1;APRT;CDT1;GALNS",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""16_89154236""","ACSF3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""17_1354524""","CRK;MYO1C",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""17_33774280""","RP11-1094M14.7;SLFN13",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""17_43199789""","ACBD4;HEXIM1;PLCD3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""17_76109910""","TMC6;TMC8",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""17_78997936""","BAIAP2-AS1;BAIAP2;CTD-2561B21.10",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""19_10215285""","EIF3G;P2RY11;PPAN;PPAN-P2RY11;SNORD105B;SNORD105",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""19_10516027""","CDC37;PDE4A",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""19_10649808""","ATG4D",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""19_17953733""","JAK3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""19_18169849""","IL12RB1;MAST3",TRUE,TRUE,"Promoter_methylated","UP_network"
"""19_36389676""","HCST;NFKBID",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""19_51617905""","SIGLEC18P;SIGLEC9",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""2_24229593""","MFSD2B",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""2_209222656""","AC012362.3;PTH2R",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""2_216940809""","PECR;TMEM169",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""20_31167858""","C20orf112;RP11-410N8.1;RP11-410N8.4",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""20_55957140""","RBM38;RP4-800J21.3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""20_62186341""","HELZ2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""21_30444293""","CCT8;MAP3K7CL",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""21_46318593""","ITGB2-AS1;ITGB2;LL21NC02-1C16.1;LL21NC02-1C16.2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""22_50214277""","BRD1;RP11-494O16.3;RP3-522J7.6;ZBED4",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""3_176913576""","TBL1XR1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""3_184029363""","EIF4G1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""5_60455031""","CTC-436P18.1;SMIM15",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""6_31528654""","LTA;TNF",TRUE,TRUE,"Promoter_methylated","UP_network"
"""6_31863610""","C2;EHMT2;ZBTB12",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""6_34198389""","C6orf1;HMGA1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""6_149780240""","ZC3H12D",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""7_74054690""","GTF2I",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""8_56812601""","SNORA1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""8_131024598""","FAM49B",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""8_133772610""","TMEM71",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""9_100745219""","ANP32B;RP11-535C21.3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_1206874""","RP5-902P8.10;UBE2J2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_1239426""","ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3",TRUE,FALSE,"Promoter","Not_in_network"
"""1_32226064""","BAI2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_32246460""","RP11-84A19.3",TRUE,FALSE,"Promoter","Not_in_network"
"""1_32378903""","AL136115.1",TRUE,FALSE,"Promoter","Not_in_network"
"""1_32642437""","TXLNA",TRUE,FALSE,"Promoter","Not_in_network"
"""1_116820780""","U3",TRUE,FALSE,"Promoter","Not_in_network"
"""1_116955262""","RNU6-817P",TRUE,FALSE,"Promoter","Not_in_network"
"""1_117109278""","CD58",TRUE,FALSE,"Promoter","Not_in_network"
"""1_117292351""","CD2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_117446540""","AL157904.1",TRUE,FALSE,"Promoter","Not_in_network"
"""1_117600462""","RP11-27K13.3",TRUE,FALSE,"Promoter","Not_in_network"
"""1_117602664""","TTF2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153536569""","S100A2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153599452""","CHTOP;RP1-178F15.4;RP1-178F15.5;S100A13;S100A1",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153621935""","SNAPIN",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153636395""","ILF2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153649059""","NPR1",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153725019""","snoU13",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153893802""","GATAD2B",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153917401""","DENND4B",TRUE,FALSE,"Promoter","Not_in_network"
"""1_153923538""","CRTC2",TRUE,FALSE,"Promoter","UP_network"
"""1_153936971""","CREB3L4;RP11-422P24.10;SLC39A1",TRUE,FALSE,"Promoter","UP_network"
"""1_153941440""","CREB3L4;JTB;RP11-422P24.11",TRUE,FALSE,"Promoter","UP_network"
"""1_153956792""","RAB13;RP11-422P24.9;RPS27;U3",TRUE,FALSE,"Promoter","Not_in_network"
"""1_154237905""","HAX1;UBAP2L",TRUE,FALSE,"Promoter","Not_in_network"
"""1_160119385""","ATP1A4",TRUE,FALSE,"Promoter","Not_in_network"
"""1_160473121""","AL138930.1",TRUE,FALSE,"Promoter","Not_in_network"
"""1_160506003""","RP11-528G1.2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_160548847""","CD84",TRUE,FALSE,"Promoter","Not_in_network"
"""1_160643025""","RP11-404F10.2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_160680987""","CD48",TRUE,FALSE,"Promoter","Not_in_network"
"""1_167056089""","GPA33",TRUE,FALSE,"Promoter","Not_in_network"
"""1_167060384""","DUSP27",TRUE,FALSE,"Promoter","Not_in_network"
"""1_167187457""","POU2F1;RP11-277B15.3",TRUE,FALSE,"Promoter","UP_network"
"""1_203760674""","ZBED6;ZC3H11A",TRUE,FALSE,"Promoter","Not_in_network"
"""1_204485125""","MDM4",TRUE,FALSE,"Promoter","Not_in_network"
"""1_206808181""","DYRK3;RP11-343H5.6",TRUE,FALSE,"Promoter","Not_in_network"
"""1_206846623""","MAPKAPK2;SNORD112",TRUE,FALSE,"Promoter","Not_in_network"
"""1_206945005""","IL10",TRUE,FALSE,"Promoter","UP_network"
"""1_206971832""","IL19",TRUE,FALSE,"Promoter","Not_in_network"
"""1_207626422""","CR2",TRUE,FALSE,"Promoter","Not_in_network"
"""1_207659875""","CR1",TRUE,FALSE,"Promoter","Not_in_network"
"""1_207816343""","CD46P1;CR1L",TRUE,FALSE,"Promoter","Not_in_network"
"""1_228637113""","HIST3H2A;HIST3H2BB;RP5-915N17.3",TRUE,FALSE,"Promoter","Not_in_network"
