from	to	Annotation	Direction	Score
ABCA1	JUN	expression regulated by	<-	1
ABCB1	JUN	expression regulated by	<-	1
ABCG1	JUN	expression regulated by	<-	1
ABL1	JUN	expression regulated by	<-	1
ACAP1	JUN	expression regulated by	<-	1
ACP5	JUN	GErel: expression by	<-	1
ACTB	JUN	complex; reaction	-	1
ADAM9	JUN	expression regulated by	<-	1
AFAP1L2	JUN	expression regulated by	<-	1
AGER	JUN	GErel: expression by	<-	1
AIRE	JUN	expression regulated by	<-	1
AJUBA	JUN	expression regulated by	<-	1
AKT1	JUN	PPrel: activation; PPrel: activation, indirect effect	->	1
AKT2	JUN	PPrel: activation; PPrel: activation, indirect effect	->	1
AKT3	JUN	PPrel: activation; PPrel: activation, indirect effect	->	1
ALDH1A1	JUN	expression regulated by	<-	1
ALDOA	JUN	expression regulated by	<-	1
ANGPT2	JUN	GErel: expression by	<-	1
ANKRD1	JUN	expression regulated by	<-	1
ANXA1	JUN	expression regulated by	<-	1
ANXA2	JUN	expression regulated by	<-	1
APLP2	JUN	predicted	-	0.77
APOA2	JUN	predicted	-	0.64
APP	JUN	expression regulated by	<-	1
AR	JUN	reaction	-	1
ARHGAP24	JUN	expression regulated by	<-	1
ARHGEF10L	JUN	expression regulated by	<-	1
ARID1A	JUN	complex; expression regulated by; input	<-	1
ARNT	JUN	complex; input; reaction	-	1
ARNTL	JUN	predicted	-	0.64
ARRB1	JUN	predicted	-	0.64
ARRB1	OR5M1	PPrel: inhibition, phosphorylation	-|	1
ARRB2	OR5M1	PPrel: inhibition, phosphorylation	-|	1
ASH2L	JUN	complex; input	-	1
ASPH	JUN	inhibit	-|	1
ASXL1	JUN	expression regulated by	<-	1
ATF1	JUN	expression regulates	->	1
ATF2	JUN	activate; complex; expression regulates; inhibited by; input	|->	1
ATF3	JUN	complex; expression regulated by; input	<-	1
ATF4	JUN	predicted	-	1
ATF5	JUN	predicted	-	0.97
ATP6V0B	SESN2	activated by	<-	1
ATP6V0C	SESN2	activated by	<-	1
ATP6V0D1	SESN2	activated by	<-	1
ATP6V0D2	SESN2	activated by	<-	1
ATP6V0E1	SESN2	activated by	<-	1
ATP6V0E2	SESN2	activated by	<-	1
ATP6V1A	SESN2	activated by	<-	1
ATP6V1B1	SESN2	activated by	<-	1
ATP6V1B2	SESN2	activated by	<-	1
ATP6V1C1	SESN2	activated by	<-	1
ATP6V1C2	SESN2	activated by	<-	1
ATP6V1D	SESN2	activated by	<-	1
ATP6V1E1	SESN2	activated by	<-	1
ATP6V1E2	SESN2	activated by	<-	1
ATP6V1F	SESN2	activated by	<-	1
ATP6V1G1	SESN2	activated by	<-	1
ATP6V1G2	SESN2	activated by	<-	1
ATP6V1G3	SESN2	activated by	<-	1
ATP6V1H	SESN2	activated by	<-	1
ATP8B1	JUN	expression regulated by	<-	1
AVP	JUN	expression regulated by	<-	1
AZU1	JUN	predicted	-	0.54
B2M	JUN	activate	->	1
BACH2	JUN	predicted	-	0.98
BAG1	JUN	complex; input	-	1
BARX2	JUN	predicted	-	0.54
BATF	JUN	predicted	-	0.98
BATF3	JUN	activated by; complex; input	<-	1
BCHE	JUN	expression regulated by	<-	1
BCL2	JUN	GErel: expression by	<-	1
BCL2A1	JUN	predicted	-	0.64
BCL2L11	JUN	GErel: expression by	<-	1
BCL3	JUN	predicted	-	0.64
BCL6	JUN	expression regulates	->	1
BCR	JUN	expression regulated by	<-	1
BDKRB1	JUN	expression regulated by	<-	1
BECN1	JUN	predicted	-	0.64
BMT2	SESN2	reaction	-	1
BRCA1	JUN	expression regulated by	<-	1
BTG1	JUN	predicted	-	0.64
BTK	JUN	activate	->	1
BUB1B	JUN	PPrel: inhibition	-|	1
C12ORF66	SESN2	complex; inhibite	-|	1
CALCR	JUN	GErel: expression by	<-	1
CAMP	JUN	PPrel: activated by	<-	1
CARM1	JUN	PPrel: binding/association	-	1
CASP9	JUN	predicted	-	0.54
CASTOR1	SESN2	reaction	-	1
CASTOR2	SESN2	reaction	-	1
CBFB	JUN	predicted	-	0.64
CBX5	JUN	expression regulated by	<-	1
CCL1	JUN	predicted	-	0.54
CCL11	JUN	predicted	-	0.54
CCL13	JUN	predicted	-	0.54
CCL14	JUN	predicted	-	0.99
CCL15	JUN	predicted	-	0.54
CCL15-CCL14	JUN	predicted	-	0.54
CCL16	JUN	predicted	-	0.54
CCL17	JUN	predicted	-	0.54
CCL18	JUN	predicted	-	0.54
CCL19	JUN	predicted	-	0.54
CCL2	JUN	GErel: expression by; PPrel: activated by; expression regulated by	<-	1
CCL20	JUN	expression regulated by	<-	1
CCL21	JUN	predicted	-	0.54
CCL22	JUN	expression regulated by	<-	1
CCL23	JUN	predicted	-	0.54
CCL24	JUN	predicted	-	0.54
CCL25	JUN	predicted	-	0.54
CCL26	JUN	predicted	-	0.54
CCL3	JUN	GErel: expression by	<-	1
CCL3L1	JUN	GErel: expression by	<-	1
CCL4	JUN	GErel: expression by	<-	1
CCL4L1	JUN	GErel: expression by	<-	1
CCL5	JUN	GErel: expression by; PPrel: activated by; expression regulated by	<-	1
CCL7	JUN	expression regulated by	<-	1
CCL8	JUN	predicted	-	0.54
CCN2	JUN	expression regulated by	<-	1
CCND1	JUN	GErel: expression by; expression regulated by	<-	1
CCND2	JUN	GErel: expression by	<-	1
CCND3	JUN	GErel: expression by	<-	1
CCNDBP1	JUN	predicted	-	0.64
CCR5	JUN	expression regulated by	<-	1
CCR7	JUN	expression regulated by	<-	1
CD163	JUN	expression regulated by	<-	1
CD1A	JUN	GErel: expression by	<-	1
CD1B	JUN	GErel: expression by	<-	1
CD1C	JUN	GErel: expression by	<-	1
CD1D	JUN	GErel: expression by	<-	1
CD1E	JUN	GErel: expression by	<-	1
CD247	JUN	activate	->	1
CD274	JUN	GErel: expression by	<-	1
CD3D	JUN	activate	->	1
CD3E	JUN	activate	->	1
CD3G	JUN	activate	->	1
CD4	JUN	expression regulated by	<-	1
CD40	JUN	GErel: expression by	<-	1
CD44	JUN	GErel: expression by	<-	1
CD58	JUN	GErel: expression by	<-	1
CD69	JUN	expression regulated by	<-	1
CD80	JUN	expression regulated by	<-	1
CD8A	JUN	activate	->	1
CD8B	JUN	activate	->	1
CDK4	JUN	GErel: expression by; reaction	<-	1
CDK5	JUN	GErel: expression by; catalyze	<->	1
CDK5R1	JUN	catalyze	->	1
CDK6	JUN	predicted	-	0.54
CDKN1A	JUN	expression regulated by	<-	1
CEBPA	JUN	complex; input; predicted	-	1
CEBPB	JUN	complex; input; reaction	-	1
CEBPB	SESN2	expression regulates	->	1
CEBPE	JUN	predicted	-	0.98
CEBPG	JUN	predicted	-	0.98
CHD3	JUN	reaction	-	1
CHD4	JUN	reaction	-	1
CHGA	JUN	expression regulated by	<-	1
CHKA	JUN	PPrel: activated, indirect effect	<-	1
CHKB	JUN	PPrel: activated, indirect effect	<-	1
CHL1	JUN	expression regulated by	<-	1
CITED1	JUN	predicted	-	0.64
CITED2	JUN	activate; inhibited by	|->	1
CLCN6	JUN	expression regulated by	<-	1
CLIC1	JUN	expression regulated by	<-	1
CLU	JUN	expression regulated by	<-	1
CNTN1	JUN	expression regulated by	<-	1
COL1A1	JUN	expression regulated by	<-	1
COL1A2	JUN	expression regulated by	<-	1
COL4A2	JUN	expression regulated by	<-	1
COPS2	JUN	predicted	-	0.64
COPS5	JUN	complex; input; reaction	-	1
CREB1	JUN	GErel: expression; complex; expression regulates; input; reaction	->	1
CREB3	JUN	GErel: expression	->	1
CREB3L1	JUN	GErel: expression	->	1
CREB3L2	JUN	GErel: expression	->	1
CREB3L3	JUN	GErel: expression	->	1
CREB3L4	JUN	GErel: expression	->	1
CREB5	JUN	GErel: expression; expression regulated by	<->	1
CREBBP	JUN	activate; complex; inhibited by; reaction	|->	1
CREM	JUN	activated by; expression regulated by; inhibite; input	<-|	1
CRKL	JUN	expression regulated by	<-	1
CRTC1	JUN	complex; input	-	1
CSF1R	JUN	predicted	-	0.54
CSF2	JUN	GErel: expression by	<-	1
CSK	JUN	predicted	-	0.64
CSNK2A1	JUN	inhibite	-|	1
CSPG4	JUN	expression regulated by	<-	1
CSTB	JUN	expression regulated by	<-	1
