"IDbait","IDoe"
"1_831895","1_850619"
"1_831895","1_889424"
"1_831895","1_903641"
"1_831895","1_1206874"
"1_831895","1_1239426"
"1_943677","1_903641"
"1_943677","1_1206874"
"1_943677","1_1239426"
"1_943677","1_1309969"
"1_943677","1_1364314"
"1_1049052","1_848169"
"1_1049052","1_850619"
"1_1049052","1_889424"
"1_1049052","1_903641"
"1_1049052","1_1096739"
"1_1049052","1_1107116"
"1_1049052","1_1109733"
"1_1049052","1_1206874"
"1_1049052","1_1239426"
"1_1049052","1_1283837"
"1_1049052","1_1309969"
"1_1049052","1_1364314"
"1_1049052","1_1545983"
"1_1049052","1_1648711"
"1_1096739","1_850619"
"1_1096739","1_1109733"
"1_1096739","1_1206874"
"1_1313316","1_850619"
"1_1313316","1_903641"
"1_1313316","1_1206874"
"1_1313316","1_1364314"
"1_1313316","1_2450976"
"1_1709350","1_1820953"
"1_3581866","1_3531260"
"1_3590780","1_3522935"
"1_9336978","1_9598476"
"1_9336978","1_9648089"
"1_11793489","1_11065147"
"1_11793489","1_11113121"
"1_11793489","1_11158746"
"1_11793489","1_11192293"
"1_11793489","1_11210175"
"1_11793489","1_11285314"
"1_11793489","1_11321726"
"1_11793489","1_11705329"
"1_11793489","1_11722754"
"1_12225212","1_11793489"
"1_12225212","1_11917524"
"1_12225212","1_11953288"
"1_12225212","1_11980154"
"1_12225212","1_12034073"
"1_12225212","1_12288289"
"1_12225212","1_12566709"
"1_12225212","1_12700924"
"1_22137923","1_21064878"
"1_22137923","1_21989091"
"1_22137923","1_22108302"
"1_22137923","1_22263134"
"1_23695196","1_38156332"
"1_25273787","1_25531683"
"1_26796595","1_27222428"
"1_32410371","1_32226064"
"1_32410371","1_32246460"
"1_32716766","1_32573374"
"1_32716766","1_32753663"
"1_32716766","1_32794627"
"1_32716766","1_32814703"
"1_32716766","1_32825454"
"1_32716766","1_32860268"
"1_32787407","1_32661814"
"1_32787407","1_32670478"
"1_32787407","1_32671968"
"1_32787407","1_32711309"
"1_32787407","1_32716766"
"1_32787407","1_32794627"
"1_45241679","1_45182178"
"1_45241679","1_45194232"
"1_45241679","1_45451481"
"1_45241679","1_45805323"
"1_45241679","1_45806064"
"1_45241679","1_45822403"
"1_45241679","1_45955111"
"1_45241679","1_45957468"
"1_45241679","1_45987157"
"1_45241679","1_46012546"
"1_45806064","1_45136190"
"1_45806064","1_45182178"
"1_45806064","1_45194232"
"1_45806064","1_45199393"
"1_45806064","1_45238578"
"1_45806064","1_45241679"
"1_45806064","1_45243793"
"1_45806064","1_45250883"
"1_45806064","1_45264674"
"1_45806064","1_45277189"
"1_45806064","1_45301331"
"1_45806064","1_45451481"
"1_45806064","1_45476778"
"1_45806064","1_45955111"
"1_45806064","1_45957468"
"1_45806064","1_46012546"
"1_70819945","1_62901316"
"1_70819945","1_63247446"
"1_70819945","1_63826788"
"1_70819945","1_64056350"
"1_70819945","1_68149975"
"1_70819945","1_68962244"
"1_70819945","1_70609204"
"1_70819945","1_70666282"
"1_70819945","1_70686109"
"1_70819945","1_70701915"
"1_70819945","1_70875753"
"1_70819945","1_71509061"
"1_70819945","1_71530008"
"1_70819945","1_71546573"
"1_70819945","1_76187495"
"1_70819945","1_76245180"
"1_70819945","1_76252672"
"1_70819945","1_76257150"
"1_70819945","1_78141576"
"1_70819945","1_78439265"
"1_70819945","1_87169445"
"1_70819945","1_87379937"
"1_70819945","1_100596834"
"1_70819945","1_104064837"
"1_70819945","1_107597030"
"1_70819945","1_118471117"
"1_92951704","1_91961842"
"1_92951704","1_92484501"
"1_92951704","1_92545453"
"1_92951704","1_92764068"
"1_92951704","1_93298402"
"1_94055034","1_94306027"
"1_109202150","1_109654432"
"1_109496842","1_109630623"
"1_109496842","1_109654432"
"1_109496842","1_109749468"
"1_111742392","1_111171739"
"1_111742392","1_111214898"
"1_111742392","1_111415628"
"1_111742392","1_111862781"
"1_111742392","1_111887921"
"1_111742392","1_111967573"
"1_111742392","1_111990420"
"1_111742392","1_112014292"
"1_111742392","1_112294296"
"1_117109278","1_116513092"
"1_117109278","1_116914319"
"1_117109278","1_117212042"
"1_117109278","1_117446540"
"1_117109278","1_117450148"
"1_117109278","1_117542531"
"1_117109278","1_117600462"
"1_117109278","1_117602664"
"1_117109278","1_117637164"
"1_117109278","1_117662394"
"1_117542531","1_117109278"
"1_117542531","1_117292351"
"1_150769819","1_150598124"
"1_150769819","1_150692032"
"1_151029436","1_150977625"
"1_151029436","1_150989821"
"1_151029436","1_151013687"
"1_151029436","1_151127851"
"1_153315280","1_153536569"
"1_153315280","1_153585136"
"1_153315280","1_153725019"
"1_153495077","1_153315280"
"1_153495077","1_153329475"
"1_153495077","1_153536569"
"1_153495077","1_153721604"
"1_153495077","1_153725019"
"1_153495077","1_153936971"
"1_153495077","1_153956792"
"1_153743839","1_153303649"
"1_153743839","1_153315280"
"1_153743839","1_153329475"
"1_153743839","1_153342367"
"1_153743839","1_153585136"
"1_153743839","1_153599452"
"1_153743839","1_153621935"
"1_153743839","1_153636395"
"1_153743839","1_153649059"
"1_153743839","1_153721604"
"1_153743839","1_153725019"
"1_153743839","1_153893802"
"1_153743839","1_153917401"
"1_153743839","1_153923538"
"1_153743839","1_153936971"
"1_153743839","1_153941440"
"1_153743839","1_153956792"
"1_153743839","1_154163713"
"1_153743839","1_154171924"
"1_153743839","1_154221516"
"1_153743839","1_154232124"
"1_154831781","1_154521938"
"1_154831781","1_154529331"
"1_154831781","1_154539788"
"1_154831781","1_154551150"
"1_154831781","1_154596617"
"1_156107982","1_156171594"
"1_156107982","1_156208305"
"1_156107982","1_156216309"
"1_156107982","1_156252139"
"1_156107982","1_156264871"
"1_156208305","1_156107982"
"1_160492674","1_160305096"
"1_160492674","1_160368453"
"1_160492674","1_160643025"
"1_160492674","1_160680987"
"1_167485364","1_166840743"
"1_167485364","1_166943297"
"1_167485364","1_167009846"
"1_167485364","1_167020971"
"1_167485364","1_167056089"
"1_167485364","1_167060384"
"1_167485364","1_167187457"
"1_167485364","1_167690219"
"1_169070988","1_168697806"
"1_173988669","1_171454475"
"1_173988669","1_171707468"
"1_173988669","1_171750038"
"1_173988669","1_172410203"
"1_173988669","1_172499181"
"1_173988669","1_172740206"
"1_173988669","1_173446162"
"1_173988669","1_173676841"
"1_173988669","1_173792836"
"1_173988669","1_173793708"
"1_173988669","1_173833171"
"1_173988669","1_174127094"
"1_173988669","1_174963601"
"1_173988669","1_174965882"
"1_181045928","1_180471076"
"1_181045928","1_180874955"
"1_181045928","1_181378390"
"1_183557436","1_182805931"
"1_183557436","1_182989144"
"1_183557436","1_183438427"
"1_185013354","1_184723626"
"1_203135462","1_202988778"
"1_203135462","1_203239241"
"1_203319882","1_203443799"
"1_203319882","1_203459656"
"1_204462957","1_204117901"
"1_204462957","1_204176179"
"1_204462957","1_204378332"
"1_207095325","1_206639384"
"1_207095325","1_206680498"
"1_207095325","1_206784719"
"1_207095325","1_206808181"
"1_207095325","1_206846623"
"1_207095325","1_206945005"
"1_207095325","1_206971832"
"1_207095325","1_207038127"
"1_207095325","1_207491500"
"1_207260202","1_207491500"
"1_207260202","1_207626422"
"1_207260202","1_207659875"
"1_223314392","1_222909496"
"1_223314392","1_223876416"
"1_223314392","1_223878060"
"1_226110293","1_225596388"
"1_226110293","1_225616610"
"1_228284922","1_222788116"
"1_228284922","1_225596388"
"1_228284922","1_226186235"
"1_228284922","1_226594644"
"1_228284922","1_226856125"
"1_228284922","1_227748098"
"1_228284922","1_228193804"
"1_228284922","1_228295802"
"1_228284922","1_228399082"
"1_228284922","1_228587629"
"1_228284922","1_228610767"
"1_228284922","1_228637113"
"1_228284922","1_228656412"
"1_228284922","1_229382957"
"1_228284922","1_229406345"
"1_228284922","1_229477418"
"1_228284922","1_229692817"
"1_228326248","1_222762923"
"1_228326248","1_222909496"
"1_228326248","1_225596388"
"1_228326248","1_226594644"
"1_228326248","1_227748098"
"1_228326248","1_228264821"
"1_228326248","1_228399082"
"1_228326248","1_228587629"
"1_228326248","1_228610767"
"1_228326248","1_228637113"
"1_228326248","1_228656412"
"1_228326248","1_229406345"
"1_228326248","1_229477418"
"1_228326248","1_229692817"
"1_228326248","1_230766387"
"1_228326248","1_241798766"
"1_229759689","1_226594644"
"1_229759689","1_229692817"
"1_229759689","1_230192576"
"1_229759689","1_230404042"
"1_229759689","1_230414691"
"1_229759689","1_230557519"
"1_229759689","1_230766387"
"1_231759856","1_231471476"
"1_231759856","1_231555189"
"1_246723963","1_176175280"
"1_246723963","1_244611695"
"1_246723963","1_244812432"
"1_246723963","1_245110394"
"1_246723963","1_245316418"
"1_246723963","1_246885512"
"1_246723963","1_247094208"
"1_246723963","1_247264297"
"1_246723963","1_247490987"
